stakes,probs,ambigs,stakes_loss,reference,ITIs,colors
2,0.25,0,1,2,5,1
2,0.5,0,1,2,5,2
2,0.75,0,1,2,5,2
3,0.25,0,1,2,5,2
3,0.25,0,1,2,5,1
3,0.5,0,1,2,5,2
3,0.5,0,1,2,5,2
3,0.75,0,1,2,5,1
3,0.75,0,1,2,5,1
4,0.25,0,1,2,5,2
4,0.25,0,1,2,5,1
4,0.5,0,1,2,5,1
4,0.5,0,1,2,5,1
4,0.75,0,1,2,5,2
4,0.75,0,1,2,5,1
5,0.25,0,1,2,5,2
5,0.25,0,1,2,5,2
5,0.5,0,1,2,5,1
5,0.5,0,1,2,5,2
5,0.75,0,1,2,5,2
5,0.75,0,1,2,5,1
3,0.25,0,1,2,5,2
3,0.25,0,1,2,5,1
3,0.5,0,1,2,5,2
3,0.5,0,1,2,5,2
3,0.75,0,1,2,5,1
3,0.75,0,1,2,5,1
4,0.25,0,1,2,5,2
4,0.25,0,1,2,5,1
4,0.5,0,1,2,5,1
4,0.5,0,1,2,5,1
4,0.75,0,1,2,5,2
4,0.75,0,1,2,5,1
5,0.25,0,1,2,5,2
5,0.25,0,1,2,5,2
5,0.5,0,1,2,5,1
5,0.5,0,1,2,5,2
5,0.75,0,1,2,5,2
5,0.75,0,1,2,5,1
